序号    基金名称    基金代码    单位净值    累计净值    日增长率    日增长值
372    华安MSCI中国A股    040002    0.8270    3.7500    -4.28%    -0.0370
373    华安安顺灵活配置    519909    1.5930    1.7290    -5.60%    -0.0940
374    华安安享灵活配置    000708    1.0550    1.0550    0.00%    0.0000
375    华安安心收益A    040036    1.1940    1.4150    -1.32%    -0.0160
376    华安安心收益B    040037    1.2040    1.4250    -1.39%    -0.0170
377    华安安信消费服务    519002    1.4640    1.4890    -6.40%    -0.1000
378    华安宝利配置基金    040004    1.6430    4.1960    -4.31%    -0.0740
379    华安保本混合基金    000072    1.5430    1.5430    -1.41%    -0.0220
380    华安策略优选股票    040008    1.0554    2.5917    -4.68%    -0.0518
381    华安创新基金    040001    0.8580    4.1750    -4.88%    -0.0440
382    华安纯债型发起式A类    040040    1.1050    1.1320    0.09%    0.0010
383    华安纯债型发起式C类    040041    1.1040    1.1280    0.09%    0.0010
384    华安大国新经济    000549    1.8230    1.8230    -5.84%    -0.1130
385    华安动态灵活配置    040015    1.5310    1.7140    -5.20%    -0.0840
386    华安核心优选股票    040011    1.7137    2.2137    -4.33%    -0.0775
387    华安宏利股票基金    040005    4.0247    4.6447    -4.92%    -0.2083
388    华安沪深300分级    160417    1.5050    1.5880    -3.40%    -0.0530
389    华安科技动力股票    040025    2.8790    2.8790    -4.10%    -0.1230
390    华安可转换A类    040022    1.7060    1.7060    -1.61%    -0.0280
391    华安可转换B类    040023    1.6780    1.6780    -1.58%    -0.0270
392    华安逆向策略股票    040035    1.8320    2.2120    -5.95%    -0.1160
393    华安强化收益A类    040012    1.4130    1.7450    -0.35%    -0.0050
394    华安强化收益B类    040013    1.3910    1.7060    -0.43%    -0.0060
395    华安上证180交易型联接    040180    1.4074    1.4074    -2.88%    -0.0418
396    华安上证龙头企业ETF联接    040190    1.4810    1.4810    -4.14%    -0.0640
397    华安深证300(LOF)    160415    1.5570    1.5570    -5.41%    -0.0890
398    华安升级主题股票    040020    1.5900    1.5900    -5.64%    -0.0950
399    华安生态优先股票    000294    1.6660    1.6660    -6.19%    -0.1100
400    华安稳定收益A    040009    1.1495    1.5622    0.01%    0.0001
401    华安稳定收益B    040010    1.1456    1.5296    0.01%    0.0001
402    华安稳固收益债券    040019    1.3030    1.3930    -0.76%    -0.0100
403    华安新活力灵活    000590    1.2290    1.2290    0.00%    0.0000
404    华安信用四季红    040026    1.0770    1.2530    0.00%    0.0000
405    华安信用增强债券    040045    1.1840    1.3210    -0.92%    -0.0110
406    华安行业轮动股票    040016    1.7771    1.7771    -5.34%    -0.1002
407    华安中小盘成长    040007    1.6685    2.9834    -4.81%    -0.0844
408    华宝收益增长混合    240008    5.8683    5.8683    -4.46%    -0.2737
409    华宝兴业创新优选    000601    1.1100    1.4500    -7.65%    -0.0920
410    华宝兴业大盘精选    240011    2.0983    2.1783    -5.16%    -0.1141
411    华宝兴业动力组合    240004    1.6567    4.1667    -7.07%    -0.1261
412    华宝兴业多策略    240005    0.8030    4.5892    -7.11%    -0.0615
413    华宝兴业服务股票    000124    2.1270    2.4270    -5.97%    -0.1350
414    华宝兴业可转债    240018    1.3956    1.3956    -4.96%    -0.0729
415    华宝兴业上证180成长ETF联接    240019    1.5690    1.5690    -1.69%    -0.0270
416    华宝兴业上证180价值ETF联接    240016    1.5790    1.6090    -1.44%    -0.0230
417    华宝兴业生态中国    000612    1.8940    2.0940    -5.72%    -0.1150
418    华宝兴业先进成长    240009    3.4436    3.7116    -5.54%    -0.2020
419    华宝兴业新兴产业    240017    2.5091    2.5091    -5.58%    -0.1483
420    华宝兴业行业精选    240010    1.6129    1.6129    -4.92%    -0.0834
421    华宝兴业医药生物    240020    1.8190    2.1080    -5.31%    -0.1020
422    华宝兴业收益A类    240012    1.3623    1.3823    -0.09%    -0.0012
423    华宝兴业收益B类    240013    1.3277    1.3477    -0.09%    -0.0012
424    华宝兴业中证100    240014    1.1633    1.1633    -2.30%    -0.0274
425    华宝兴业资源优选    240022    1.1760    1.1760    -5.47%    -0.0680
426    华宸未来沪深300型发起式    167901    1.6240    1.6240    -3.28%    -0.0550
427    华宸未来信用增利型发起式    000104    0.9960    1.2060    -0.10%    -0.0010
428    华富保本混合基金    000028    1.2270    1.3770    -2.15%    -0.0270
429    华富策略精选灵活    410006    1.5240    1.6840    -7.03%    -0.1153
430    华富成长趋势股票    410003    1.0422    1.3322    -7.08%    -0.0794
431    华富价值灵活配置    410007    1.5891    1.5891    -7.36%    -0.1263
432    华富竞争力优选    410001    1.1231    2.7981    -7.42%    -0.0900
433    华富量子生命力    410009    1.0780    1.0780    -7.18%    -0.0834
434    华富灵活配置混合    000398    1.1730    1.2530    0.00%    0.0000
435    华富收益增强A类    410004    1.6530    1.9650    -1.11%    -0.0185
436    华富收益增强B类    410005    1.6461    1.9281    -1.11%    -0.0184
437    华富中小板增强    410010    1.7550    1.7550    -5.59%    -0.1040
438    华富中证100    410008    1.1674    1.1674    -2.06%    -0.0245
439    华润元大保本混合    000273    1.8060    1.8060    -0.17%    -0.0030
440    华润元大信息传媒科技    000522    1.9540    1.9540    -4.22%    -0.0860
441    华润元大医疗保健量化    000646    1.6980    1.6980    -4.45%    -0.0790
442    华商策略精选灵活    630008    1.5740    1.5740    -5.92%    -0.0990
443    华商产业升级股票    630006    1.5960    1.5960    -2.92%    -0.0480
444    华商创新成长灵活发起式    000541    2.2810    2.3760    -2.89%    -0.0680
445    华商大盘量化精选灵活    630015    1.9550    2.3550    -7.74%    -0.1640
446    华商动态阿尔法灵活    630005    2.5810    2.5810    -3.44%    -0.0920
447    华商红利优选灵活    000279    1.0580    1.6910    -3.29%    -0.0360
448    华商价值共享灵活    630016    2.1790    2.3290    -7.32%    -0.1720
449    华商价值精选股票    630010    3.1400    3.2100    -2.73%    -0.0880
450    华商领先企业混合    630001    1.6579    2.5489    -7.59%    -0.1362
451    华商盛世成长股票    630002    3.7947    5.4497    -2.81%    -0.1099
452    华商收益增强A类    630003    1.2150    1.7400    -2.02%    -0.0250
453    华商收益增强B类    630103    1.1970    1.7030    -2.05%    -0.0250
454    华商稳定增利A级    630009    1.5430    1.5430    -1.59%    -0.0250
455    华商稳定增利C级    630109    1.5140    1.5140    -1.56%    -0.0240
456    华商稳健双利A类    630007    1.5290    1.5900    -1.74%    -0.0270
457    华商稳健双利B类    630107    1.5060    1.5600    -1.70%    -0.0260
458    华商新量化灵活    000609    1.8860    1.8860    -7.87%    -0.1610
459    华商新锐产业灵活    000654    1.6600    1.6800    -7.42%    -0.1330
460    华商优势行业灵活    000390    1.2320    1.8420    -3.98%    -0.0510
461    华商中证500分级    166301    2.0370    2.0370    -4.37%    -0.0930
462    华商主题精选股票    630011    3.1270    3.2270    -7.57%    -0.2560
463    华泰柏瑞增利A类    519519    1.1087    1.4127    -1.68%    -0.0189
464    华夏安康信用优选A    001031    1.2420    1.2720    -0.48%    -0.0060
465    华夏安康信用优选C    001033    1.2310    1.2610    -0.49%    -0.0060
466    华夏策略精选灵活    002031    2.6910    3.2910    -5.48%    -0.1560
467    华夏成长基金    000001    1.5450    3.7460    -5.33%    -0.0870
468    华夏纯债债券A类    000015    1.1020    1.1020    0.00%    0.0000
469    华夏纯债债券C类    000016    1.0920    1.0920    0.00%    0.0000
470    华夏大盘精选基金    000011    11.2710    15.1510    -3.25%    -0.3790
471    华夏复兴股票基金    000031    2.0650    2.0650    -3.73%    -0.0800
472    华夏恒生ETF    159920    1.2302    1.2302    0.18%    0.0022
473    华夏红利基金    002011    2.6230    5.0960    -6.02%    -0.1680
474    华夏沪深300    000051    1.2340    1.2340    -3.29%    -0.0420
475    华夏回报二号基金    002021    1.1110    2.9960    -2.71%    -0.0310
476    华夏回报基金    002001    1.2850    4.0570    -2.50%    -0.0330
477    华夏蓝筹核心混合    160311    1.4160    4.8060    -4.19%    -0.0620
478    华夏平稳增长混合    519029    2.1530    2.9580    -7.44%    -0.1730
479    华夏盛世精选股票    000061    1.2060    1.2060    -7.23%    -0.0940
480    华夏双债增强A类    000047    1.2680    1.2980    -0.63%    -0.0080
481    华夏双债增强C    000048    1.2600    1.2900    -0.55%    -0.0070
482    华夏希望债券A类    001011    1.1870    1.5470    -0.17%    -0.0020
483    华夏希望债券C类    001013    1.1810    1.5210    -0.17%    -0.0020
484    华夏兴和混合基金    519918    1.5820    3.8970    -6.08%    -0.1030
485    华夏兴华混合基金    519908    1.7340    6.1590    -7.80%    -0.1460
486    华夏行业精选股票    160314    1.4110    6.8430    -5.81%    -0.0870
487    华夏亚债中国A类    001021    1.0660    1.1710    0.00%    0.0000
488    华夏亚债中国C类    001023    1.0490    1.1540    0.00%    0.0000
489    华夏一年定期开放    000014    1.0990    1.0990    0.00%    0.0000
490    华夏永福养老理财    000121    1.4140    1.4140    -0.14%    -0.0020
491    华夏优势增长股票    000021    1.8680    3.0380    -6.27%    -0.1250
492    华夏(A/B类)    001001    1.0700    1.8000    0.00%    0.0000
493    华夏债券(C类)    001003    1.0640    1.7640    0.00%    0.0000
494    汇丰晋信2016    540001    1.4661    2.4161    -0.66%    -0.0098
495    汇丰晋信2026生命周期    540004    1.4343    2.0543    -5.84%    -0.0889
496    汇丰晋信大盘股票    540006    2.1909    2.2509    -2.07%    -0.0462
497    汇丰晋信低碳先锋    540008    1.8507    1.9507    -6.45%    -0.1277
498    汇丰晋信动态策略    540003    1.9111    2.0311    -5.98%    -0.1216
499    汇丰晋信恒生A股行业龙头    540012    1.5937    1.5937    -2.98%    -0.0489
500    汇丰晋信科技先锋    540010    2.3751    2.3751    -4.20%    -0.1042
501    汇丰晋信龙腾股票    540002    1.8512    3.0972    -5.96%    -0.1173
502    汇丰晋信平稳增利A类    540005    1.0487    1.1781    0.01%    0.0001
503    汇丰晋信平稳增利C类    541005    1.0493    1.1933    0.00%    0.0000
504    汇丰晋信消费红利    540009    1.0120    1.0870    -7.24%    -0.0790
505    汇丰晋信中小盘    540007    1.3761    1.3961    -6.19%    -0.0908
506    汇添富保本混合    470018    1.3710    1.3710    -1.86%    -0.0260
507    汇添富策略回报    470008    1.9250    1.9950    -6.96%    -0.1440
508    汇添富成长焦点    519068    2.1077    2.5257    -6.05%    -0.1357
509    汇添富沪深300安中    000368    1.6072    1.6072    -4.34%    -0.0729
510    汇添富环保行业    000696    1.4460    1.4460    -6.47%    -0.1000
511    汇添富价值精选    519069    2.5950    3.2110    -4.07%    -0.1100
512    汇添富均衡增长    519018    1.1523    3.7775    -5.42%    -0.0660
513    汇添富可转换A类    470058    1.5860    1.6560    -4.00%    -0.0660
514    汇添富可转换C类    470059    1.5620    1.6320    -4.00%    -0.0650
515    汇添富蓝筹稳健    519066    2.1110    2.6210    -5.29%    -0.1180
516    汇添富美丽30    000173    2.4270    2.4270    -8.31%    -0.2200
517    汇添富民营活力    470009    3.1630    3.4130    -5.50%    -0.1840
518    汇添富逆向投资    470098    2.1770    2.3270    -7.64%    -0.1800
519    汇添富上证综合    470007    1.3050    1.3050    -3.40%    -0.0460
520    汇添富社会责任    470028    2.1540    2.1540    -6.71%    -0.1550
521    汇添富深证300ETF    159912    1.6010    1.6010    -5.09%    -0.0858
522    汇添富深证300ETF联接    470068    1.6395    1.6395    -4.29%    -0.0734
523    汇添富实业债A级    000122    1.1530    1.2830    0.09%    0.0010
524    汇添富实业债C级    000123    1.1400    1.2700    0.00%    0.0000
525    汇添富消费行业    000083    2.5480    2.5480    -6.70%    -0.1830
526    汇添富信用债A类    470088    1.1190    1.1380    -0.18%    -0.0020
527    汇添富信用债C类    470089    1.1050    1.1240    -0.27%    -0.0030
528    汇添富医药保健    470006    1.8810    1.9310    -6.74%    -0.1360
529    汇添富移动互联    000697    2.1440    2.1440    -6.78%    -0.1560
530    汇添富优势精选    519008    4.4126    6.7286    -6.46%    -0.3045
531    汇添富收益A类    519078    1.2110    1.4560    0.08%    0.0010
532    汇添富收益C类    470078    1.1900    1.4350    0.08%    0.0010
533    嘉实策略增长混合    070011    1.8380    2.4190    -5.45%    -0.1060
534    嘉实沪深300研究    000176    1.1961    1.1961    -4.21%    -0.0526
535    建信安心保本混合    000270    1.4560    1.4560    -0.55%    -0.0080
536    建信安心回报定期开放A    000105    1.1400    1.1500    0.00%    0.0000
537    建信安心回报定期开放C    000106    1.1290    1.1390    0.09%    0.0010
538    建信保本混合基金    530012    2.0110    2.0790    -5.23%    -0.1110
539    建信创新中国股票    000308    1.7870    1.7870    -7.65%    -0.1480
540    建信改革红利股票    000592    1.8930    1.8930    -4.49%    -0.0890
541    建信核心精选股票    530006    1.7190    2.6040    -5.60%    -0.1020
542    建信恒久价值股票    530001    0.9135    3.2252    -4.72%    -0.0453
543    建信恒稳价值混合    530016    1.8110    1.9110    -5.18%    -0.0990
544    建信沪深300(LOF)    165309    1.1837    1.1837    -3.55%    -0.0436
545    建信健康民生混合    000547    1.7610    1.7610    -4.71%    -0.0870
546    建信内生动力股票    530011    1.6140    1.6220    -4.38%    -0.0740
547    建信潜力新蓝筹    000756    1.2850    1.2850    -6.20%    -0.0850
548    建信上证社会责任ETF    510090    1.4532    1.7336    -2.93%    -0.0439
549    建信上证社会责任ETF联接    530010    1.6287    1.6287    -2.74%    -0.0459
550    建信社会责任股票    530019    2.0130    2.0130    -6.02%    -0.1290
551    建信深证100    530018    1.5841    1.5841    -3.92%    -0.0647
552    建信深证基本面60ETF    159916    2.8616    1.5591    -4.56%    -0.1367
553    建信深证基本面60ETF联接    530015    1.5202    1.5202    -4.35%    -0.0692
554    建信收益增强A类    530009    1.4590    1.5740    -0.82%    -0.0120
555    建信收益增强C类    531009    1.4240    1.5390    -0.77%    -0.0110
556    建信双利策略主题分级    165310    1.4580    1.5540    -3.25%    -0.0490
557    建信双息红利债券    530017    1.3340    1.5790    -0.82%    -0.0110
558    建信稳定添利债券    000435    1.1150    1.3770    -0.98%    -0.0110
559    建信稳定增利债券    530008    1.5160    1.7890    -0.07%    -0.0010
560    建信消费升级混合    000056    1.6620    1.6620    -4.04%    -0.0700
561    建信央视财经50分级之基础份额    165312    1.4211    1.4873    -2.65%    -0.0387
562    建信优化配置混合    530005    1.5540    2.1040    -3.92%    -0.0634
563    建信优势动力(LOF)    165313    1.4390    1.4390    -2.70%    -0.0400
564    建信优选成长股票    530003    1.8403    3.2903    -5.92%    -0.1158
565    建信中证500    000478    2.1407    2.1407    -6.75%    -0.1549
566    建信转债增强A    530020    2.4400    2.4400    -1.57%    -0.0390
567    建信转债增强C    531020    2.4120    2.4120    -1.59%    -0.0390
568    交银施罗德180公司治理ETF联接    519686    1.2860    1.2860    -2.43%    -0.0320
569    交银施罗德阿尔法核心    519712    2.0980    2.0980    -5.11%    -0.1130
570    交银施罗德保本    519697    2.1650    2.3050    -4.03%    -0.0910
571    交银施罗德成长30    519727    1.5970    1.5970    -6.11%    -0.1040
572    交银施罗德成长    519692    4.9676    5.4886    -5.43%    -0.2852
573    交银施罗德纯债A类/B类    519718    1.0840    1.1560    0.00%    0.0000
574    交银施罗德纯债C类    519720    1.0690    1.1400    0.00%    0.0000
575    交银施罗德精选    519688    1.0249    3.2457    -4.63%    -0.0497
576    交银施罗德蓝筹    519694    1.0872    1.1022    -5.63%    -0.0649
577    交银施罗德强化回报A    519733    1.1400    1.1800    -0.44%    -0.0050
578    交银施罗德强化回报C    519735    1.1370    1.1770    -0.44%    -0.0050
579    交银施罗德趋势优先    519702    1.3870    1.3870    -4.67%    -0.0680
580    交银施罗德荣安保本    519710    1.1060    1.3270    -4.66%    -0.0540
581    交银施罗德荣泰保本    519729    1.2480    1.3830    -1.73%    -0.0220
582    交银施罗德荣祥保本    519726    0.9520    1.3950    -1.86%    -0.0180
583    交银施罗德深证300价值ETF联接    519706    1.6020    1.6020    -4.36%    -0.0730
584    交银施罗德双利A/B类    519683    1.2490    1.5870    -0.95%    -0.0120
585    交银施罗德双利C类    519685    1.2260    1.5610    -1.05%    -0.0130
586    交银施罗德双轮动A/B    519723    1.0630    1.1430    0.00%    0.0000
587    交银施罗德双轮动C    519725    1.0550    1.1320    0.00%    0.0000
588    交银施罗德稳健    519690    1.8542    3.6352    -5.44%    -0.1066
589    交银施罗德先锋    519698    1.7806    1.8846    -7.17%    -0.1376
590    交银施罗德先进制造    519704    2.0820    2.0820    -5.45%    -0.1200
591    交银施罗德新成长    519736    1.5620    1.5620    -5.22%    -0.0860
592    交银施罗德增利A/B    519680    1.0628    1.5448    0.03%    0.0003
593    交银施罗德增利C    519682    1.0624    1.5104    0.02%    0.0002
594    交银施罗德周期回报灵活    519738    1.1290    1.2990    -0.09%    -0.0010
595    交银施罗德主题优选    519700    1.5730    1.5880    -7.03%    -0.1190
596    金鹰保本混合基金    210006    1.0880    1.2290    -0.64%    -0.0070
597    金鹰策略配置股票    210008    1.9713    1.9713    -7.08%    -0.1501
598    金鹰成份股优选    210001    0.9337    2.7970    -1.95%    -0.0186
599    金鹰持久回报分级    162105    1.0155    1.3812    -1.10%    -0.0113
600    金鹰核心资源股票    210009    1.7040    1.8040    -6.73%    -0.1230
601    金鹰红利价值灵活    210002    1.1091    2.3071    -3.20%    -0.0367
602    金鹰稳健成长股票    210004    1.6140    1.7940    -7.61%    -0.1330
603    金鹰行业优势股票    210003    1.2941    1.3241    -6.73%    -0.0934
604    金鹰元安保本混合    000110    1.0047    1.2626    -0.15%    -0.0015
605    金鹰元丰保本混合    210014    1.0780    1.1240    0.00%    0.0000
606    金鹰元泰精选信用债A类    210010    1.0165    1.2269    0.02%    0.0002
607    金鹰元泰精选信用债C类    210011    1.0158    1.2165    0.02%    0.0002
608    金鹰中小盘精选    162102    1.4443    3.0476    -4.18%    -0.0630
609    金鹰中证500分级    162107    0.8852    2.0037    -6.86%    -0.0652
610    金鹰中证技术领先    210007    1.7475    1.7475    -5.48%    -0.1014
611    金鹰主题优势股票    210005    1.1680    1.1680    -5.58%    -0.0690
612    金元惠理宝石动力    620001    1.3063    1.3663    -4.12%    -0.0562
613    金元惠理保本混合    620007    1.0420    1.1680    0.00%    0.0000
614    金元惠理成长动力灵活    620002    1.4330    1.6530    -4.08%    -0.0610
615    金元惠理丰利债券    620003    1.1560    1.1780    0.00%    0.0000
616    金元惠理核心动力    620005    1.2670    1.2670    -3.36%    -0.0440
617    金元惠理惠利保本    620009    1.1730    1.1730    -0.17%    -0.0020
618    金元惠理价值增长    620004    1.3470    1.3470    -5.27%    -0.0750
619    金元惠理消费主题    620006    1.1530    1.1530    -5.10%    -0.0620
620    金元惠理新经济主题    620008    2.0310    2.0310    -5.31%    -0.1140
621    景顺长城策略精选灵活    000242    1.2340    1.4140    -3.22%    -0.0410
622    景顺长城成长之星    000418    1.5470    1.5470    -6.36%    -0.1050
623    景顺长城鼎益基金    162605    1.5570    3.6570    -5.41%    -0.0890
624    景顺长城动力平衡    260103    0.8866    3.1766    -4.64%    -0.0431
625    景顺长城公司治理    260111    1.5610    1.9090    -6.41%    -0.1070
626    景顺长城核心竞争力    260116    2.6710    2.8210    -4.64%    -0.1300
627    景顺长城沪深300    000311    1.9250    1.9250    -3.27%    -0.0650
628    景顺长城精选蓝筹    260110    1.5330    1.5330    -4.72%    -0.0760
629    景顺长城内需贰号    260109    1.1710    2.9670    -4.87%    -0.0600
630    景顺长城内需增长    260104    5.0740    6.8900    -4.95%    -0.2640
631    景顺长城能源基建    260112    1.9530    1.9680    -1.96%    -0.0390
632    景顺长城品质投资    000020    1.8630    1.8630    -3.97%    -0.0770
633    景顺长城上证180等权重ETF    510420    1.8240    1.8240    -5.44%    -0.1050
634    景顺长城上证180等权重ETF联接    263001    1.7740    1.7740    -4.93%    -0.0920
635    景顺长城稳定收益A类    261001    1.1040    1.1140    0.00%    0.0000
636    景顺长城稳定收益C类    261101    1.0830    1.0930    0.00%    0.0000
637    景顺长城新兴成长    260108    0.9460    2.3060    -5.96%    -0.0600
638    景顺长城研究精选    000688    1.3610    1.3810    -6.33%    -0.0920
639    景顺长城优势企业    000532    1.7110    1.7110    -5.99%    -0.1090
640    景顺长城优信增利A    261002    1.2380    1.2480    -0.08%    -0.0010
641    景顺长城优信增利C    261102    1.2230    1.2330    -0.08%    -0.0010
642    景顺长城优选股票    260101    2.0963    4.0970    -4.19%    -0.0916
643    景顺长城优质成长    000411    1.5450    1.5450    -6.14%    -0.1010
644    景顺长城支柱产业    260117    1.5870    1.8670    -7.46%    -0.1280
645    景顺长城中小板创业板精选    000586    1.6840    1.6840    -7.27%    -0.1320
646    景顺长城中小盘    260115    1.6170    1.6170    -5.77%    -0.0990
647    景顺长城资源垄断    162607    1.0190    3.1000    -7.70%    -0.0850
648    民生加银策略精选灵活    000136    2.0120    2.0120    -6.38%    -0.1370
649    民生加银城镇化灵活    000408    1.6800    1.7100    -7.08%    -0.1280
650    民生加银红利回报灵活    690009    1.4710    1.7690    -5.28%    -0.0820
651    民生加银积极成长型发起式    690011    1.4550    1.4550    -6.19%    -0.0960
652    民生加银精选股票    690003    1.2140    1.2140    -7.19%    -0.0940
653    民生加银景气行业    690007    1.7850    1.7850    -4.24%    -0.0790
654    民生加银内需增长    690005    1.4510    1.4510    -7.34%    -0.1150
655    民生加银品牌蓝筹灵活    690001    1.5550    1.5850    -5.87%    -0.0970
656    民生加银平稳增利A类    166902    1.0760    1.2260    0.00%    0.0000
657    民生加银平稳增利C类    166903    1.0750    1.2150    0.09%    0.0010
658    民生加银稳健成长    690004    1.3760    1.3760    -7.03%    -0.1040
659    民生加银信用双利A类    690006    1.5260    1.5560    -1.68%    -0.0260
660    民生加银信用双利C类    690206    1.5040    1.5340    -1.70%    -0.0260
661    民生加银收益A类    690002    1.9160    2.0460    -1.49%    -0.0290
662    民生加银收益C类    690202    1.8670    1.9970    -1.53%    -0.0290
663    民生加银中证内地资源    690008    0.8270    0.8270    -5.49%    -0.0480
664    民生加银转债优选A    000067    0.9710    1.3710    -6.63%    -0.0690
665    民生加银转债优选C    000068    0.9690    1.3590    -6.65%    -0.0690
666    摩根士丹利华鑫多因子策略    233009    2.0850    2.4260    -6.71%    -0.1500
667    摩根士丹利华鑫多元收益A    233012    1.4200    1.4200    -1.53%    -0.0220
668    摩根士丹利华鑫多元收益C    233013    1.4010    1.4010    -1.55%    -0.0220
669    摩根士丹利华鑫基础行业    233001    0.7664    2.3114    -5.59%    -0.0454
670    摩根士丹利华鑫进取优选    000594    1.8150    1.8150    -6.78%    -0.1320
671    摩根士丹利华鑫量化    233015    2.1860    2.1860    -3.02%    -0.0680
672    摩根士丹利华鑫领先优势    233006    1.7821    1.7821    -6.93%    -0.1327
673    摩根士丹利华鑫品质生活精选    000309    1.4840    1.4840    -7.94%    -0.1280
674    摩根士丹利华鑫强收益    233005    1.4388    1.4738    -0.60%    -0.0087
675    摩根士丹利华鑫深证300    233010    1.7840    1.7840    -5.36%    -0.1010
676    摩根士丹利华鑫双利A类    000024    1.1850    1.1850    -0.08%    -0.0010
677    摩根士丹利华鑫双利C    000025    1.1790    1.1790    -0.08%    -0.0010
678    摩根士丹利华鑫消费领航    233008    1.6834    1.6834    -1.45%    -0.0248
679    摩根士丹利华鑫主题优选    233011    2.0450    2.0450    -7.84%    -0.1740
680    摩根士丹利华鑫卓越成长    233007    2.2614    2.2614    -7.74%    -0.1896
681    摩根士丹利华鑫资源优选    163302    2.6622    4.2372    -7.37%    -0.2118
682    纽银策略优选股票    671010    1.2790    1.2790    -3.98%    -0.0530
683    纽银稳定增利A    675021    1.0130    1.0280    -0.78%    -0.0080
684    纽银稳定增利C    675023    1.0380    1.0510    2.37%    0.0240
685    纽银稳健双利A    675011    1.1030    1.1030    -0.90%    -0.0100
686    纽银稳健双利C    675013    1.0900    1.0900    -0.82%    -0.0090
687    纽银新动向灵活    673010    1.4620    1.8120    -2.47%    -0.0370
688    农银汇理策略价值    660004    1.7167    1.7167    -4.51%    -0.0811
689    农银汇理策略精选    660010    0.8865    0.8865    -5.80%    -0.0546
690    农银汇理大盘蓝筹    660006    1.1385    1.1385    -3.66%    -0.0433
691    农银汇理低估值高    000039    1.9958    1.9958    -6.88%    -0.1474
692    农银汇理恒久增利A类    660002    1.3522    1.4662    -0.23%    -0.0031
693    农银汇理恒久增利C类    660102    1.3308    1.3918    -0.23%    -0.0031
694    农银汇理沪深300    660008    1.2986    1.2986    -3.46%    -0.0466
695    农银汇理平衡双利    660003    1.6261    1.8661    -5.49%    -0.0944
696    农银汇理区间收益灵活    000259    1.7103    1.7103    -1.15%    -0.0199
697    农银汇理深证100型    660014    1.6921    1.7721    -4.65%    -0.0826
698    农银汇理消费主题    660012    2.4640    2.5440    -6.08%    -0.1595
699    农银汇理行业成长    660001    2.5313    3.1313    -6.36%    -0.1718
700    农银汇理行业领先    000127    1.6276    1.6276    -4.85%    -0.0830
701    农银汇理行业轮动    660015    2.5487    2.6487    -6.38%    -0.1737
702    农银汇理研究精选灵活    000336    1.6162    1.6162    -6.24%    -0.1076
703    农银汇理收益A类    660009    1.3302    1.4012    -0.14%    -0.0018
704    农银汇理收益C类    660109    1.3102    1.3812    -0.13%    -0.0017
705    农银汇理中小盘    660005    2.4363    2.4663    -6.59%    -0.1718
706    农银汇理中证500    660011    2.0386    2.0386    -6.46%    -0.1408
707    诺安保本混合基金    320015    1.2540    1.5250    -2.88%    -0.0370
708    诺安成长股票基金    320007    1.4010    1.8460    -6.04%    -0.0900
709    诺安多策略股票    320016    1.7160    1.7160    -5.82%    -0.1060
710    诺安股票基金    320003    1.4430    3.3265    -4.81%    -0.0729
711    诺安鸿鑫保本混合    000066    1.4020    1.4020    -1.96%    -0.0280
712    诺安汇鑫保本混合    320020    0.9830    1.4330    -0.61%    -0.0060
713    诺安价值增长股票    320005    1.1942    2.1392    -5.51%    -0.0696
714    诺安灵活配置混合    320006    2.0130    2.5930    -5.18%    -0.1100
715    诺安平衡基金    320001    1.1204    3.3804    -5.67%    -0.0674
716    诺安上证新兴产业ETF    510260    1.4480    1.4480    -6.64%    -0.1030
717    诺安上证新兴产业ETF联接    320014    1.4080    1.4080    -6.13%    -0.0920
718    诺安双利型发起式    320021    1.3760    1.3760    -1.64%    -0.0230
719    诺安稳健回报灵活    000714    1.2660    1.2660    -0.08%    -0.0010
720    诺安新动力灵活    320018    2.0560    2.1760    -3.88%    -0.0830
721    诺安优化收益债券    320004    1.2573    1.6369    -1.08%    -0.0137
722    诺安优势行业灵活    000538    1.2630    1.2630    -0.08%    -0.0010
723    诺安增利债券A类    320008    1.3660    1.5310    -2.64%    -0.0370
724    诺安增利债券B类    320009    1.3190    1.4840    -2.66%    -0.0360
725    诺安中小盘精选    320011    2.1410    2.2010    -5.22%    -0.1180
726    诺安中证100    320010    1.1450    1.1450    -2.30%    -0.0270
727    诺安中证创业成长分级    163209    0.7740    1.8820    -3.85%    -0.0310
728    诺安中证创业成长分级之进取    150075    0.6190    2.3280    -7.75%    -0.0520
729    诺安中证创业成长分级之稳健    150073    1.0060    1.2130    0.00%    0.0000
730    诺安主题精选股票    320012    1.7000    1.8000    -4.66%    -0.0830
731    诺德成长优势股票    570005    1.9990    1.9990    -5.44%    -0.1150
732    诺德价值优势股票    570001    1.4204    1.4204    -4.54%    -0.0675
733    诺德深证300分级    165707    0.8780    1.9840    -5.39%    -0.0500
734    诺德双翼分级债券    165705    0.9530    1.1790    -1.95%    -0.0190
735    诺德优选30股票    570007    1.4900    1.4900    -6.35%    -0.1010
736    诺德增强收益债券    573003    1.0960    1.1230    -2.40%    -0.0270
737    诺德中小盘股票    570006    1.5970    2.1270    -6.11%    -0.1040
738    诺德周期策略股票    570008    2.0900    2.0900    -5.77%    -0.1280
739    诺德主题灵活配置    571002    2.0902    2.0902    -5.43%    -0.1201
740    鹏华产业债债券    000053    1.4310    1.4410    -0.49%    -0.0070
741    鹏华动力增长混合    160610    1.6200    2.0950    -5.48%    -0.0940
